,Employer Address,Policy Number,Policy Expiration Date,Employer Name,Named Insured,Class Code
385,9108 SHORT CHIP CIR,Z134082305,03/03/2022,ISLAND POINT/RESERVE PROPERTY OWNERS ASSN,ISLAND POINT/RESERVE PROPERTY OWNERS ASSN,9015
386,430 NW LAKE WHITNEY PL,Z136581902,03/23/2022,ISLE OF VENICE NEIGHBORHOOD ASSN INC,ISLE OF VENICE NEIGHBORHOOD ASSN INC,9015
387,430 NW LAKE WHITNEY PL,Z136581902,03/23/2022,ISLE OF VENICE NEIGHBORHOOD ASSN INC,ISLE OF VENICE NEIGHBORHOOD ASSN INC,9015
388,430 NW LAKE WHITNEY PL,Z136581902,03/23/2022,ISLE OF VENICE NEIGHBORHOOD ASSN INC,ISLE OF VENICE NEIGHBORHOOD ASSN INC,9015
389,575 NW SAN REMO CIR,Z136581902,03/23/2022,ISLE OF VENICE NEIGHBORHOOD ASSN INC,ISLE OF VENICE NEIGHBORHOOD ASSN INC,9015
390,528 NW ENTERPRISE DR,WC0100068123,03/26/2022,ITALIAN TERRAZZO & TILE CO OF BREVARD LLC,ITALIAN TERRAZZO & TILE CO OF BREVARD LLC,5606
391,580 NW UNIVERSITY BLVD,UB8P7024562142V,03/24/2022,IVOX SOLUTIONS LLC,IVOX SOLUTIONS LLC,8810
392,580 NW UNIVERSITY BLVD,UB8P7024562142V,03/24/2022,IVOX SOLUTIONS LLC,IVOX SOLUTIONS LLC,8810
393,3020 CROSSROADS PKWY,WC478373108,03/01/2022,J J TAYLOR DISTRIBUTING FLORIDA INC,J J TAYLOR DISTRIBUTING FLORIDA INC,7390
394,433 SW MILLARD DR,WCG78543,03/01/2022,J PELOQUIN REFRIGERATION INC,J PELOQUIN REFRIGERATION INC,5537
395,3601 N 25TH ST,UB0K4041992114G,03/01/2022,JACKSONVILLE EDUCATORS BROADCASTING INC,JACKSONVILLE EDUCATORS BROADCASTING INC,7610
396,1200 OAK AVE,WC01000001021,03/01/2022,JAJO ONE LLC DBA,KYMBERLY GROUP PAYROLL SOLUTIONS INC,7219
397,592 SE ESSEX DR,NHFL0116832021,03/14/2022,JAMES DOYLE,JAMES DOYLE,5146
398,592 SE ESSEX DR,NHFL0116832021,03/14/2022,JAMES DOYLE DBA JAMES DOYLE INSTALLATION,JAMES DOYLE,5146
399,592 SE ESSEX DR,NHFL0116832021,03/14/2022,JAMES DOYLE INSTALLATION DBA,JAMES DOYLE,5146
400,314 N 17TH ST,WC7155300,03/26/2022,JAO'S CARPENTRY INC,JAO'S CARPENTRY INC,5645
401,314 N 17TH ST,WC7155300,03/26/2022,JAO'S CARPENTRY INC,JAO'S CARPENTRY INC,5645
402,280 NE ARDSLEY DR,NXT7KMZEH401WC,03/20/2022,JC HANDIWORX LLC,JC HANDIWORX LLC,5403
403,2126 AZURE AV,JGWC252841,03/17/2022,JGEII INC,JGEII INC,5190
404,2126 SW AZURE AVE,JGWC252841,03/17/2022,JGEII INC,JGEII INC,5190
405,2126 SW AZURE AVE,JGWC252841,03/17/2022,JGEII INC,JGEII INC,5190
406,8801 INDRIO RD,WC0100067891,03/31/2022,JIM G RUSSAKIS,RUSSAKIS CITRUS MANAGEMENT LLC,83
407,1111 SE PORT ST LUCIE BLVD,TWC3955081,03/19/2022,JIMMY JOHN'S DBA,JIMMY JOHNS DBA,9083
408,1111 SE PORT ST LUCIE BLVD,TWC3955081,03/19/2022,JIMMY JOHN'S DBA,TREASURE COAST GOURMET SUBS INC DBA JIMMY JOHNS,9083
409,1111 SE PORT ST LUCIE BLVD,TWC3955081,03/19/2022,JIMMY JOHN'S DBA,TREASURE COAST GOURMET SUBS INC,9083
410,1111 SE PORT ST LUCIE BLVD,TWC3955081,03/19/2022,JIMMY JOHN'S DBA,TREASURE COAST GOURMET SUBS INC DBA JIMMY JOHNS,9083
411,4131 S US HIGHWAY 1,JJWC256430,03/30/2022,JJ PLUMS CAF II LLC,JJ PLUMS CAF II LLC,9082
412,2115 DONALD ST,10658807,03/30/2022,JOHN W WILSON LLC,JOHN W WILSON LLC,5474
413,372 CYCLONE DR,10658807,03/30/2022,JOHN W WILSON LLC,JOHN W WILSON LLC,5474
414,1109 APPLE ST,JOWC292078,03/02/2022,JOWY CARPENTRY LLC,JOWY CARPENTRY LLC,5645
415,2407 SE ROCK SPRINGS DR,WC58600001021SZ,03/01/2022,JTB3 SERVICES INC DBA,KYMBERLY GROUP PAYROLL SOLUTIONS INC,8380
416,6412 LAS PALMAS WAY,UB7P3514702142G,03/04/2022,JUST SOLUTIONS INC,JUST SOLUTIONS INC,8871
417,904 SW SAINT LUCIE WEST BLVD,NHFL0142682021,03/01/2022,KICATHAN LLC,KICATHAN LLC,2589
418,904 SW SAINT LUCIE WEST BLVD,NHFL0142682021,03/01/2022,KICATHAN LLC,"KICATHAN, LIMITED LIABILITY COMPANY.",2589
419,2900 W MIDWAY RD,MWC004616009,03/01/2022,KIDS HEALTH PLACE INC,KIDS HEALTH PLACE INC,8832
420,10000 SW INNOVATION WAY,WC84000239752021A,03/02/2022,KIDZ MEDICAL SERVICES INC,KIDZ MEDICAL SERVICES INC,8832
421,10521 SW VILLAGE CENTER DR STE,WC84000239752021A,03/02/2022,KIDZ MEDICAL SERVICES INC,KIDZ MEDICAL SERVICES INC,8832
422,768 NW FLORESTA DR,TWC3953272,03/24/2022,KIKO'S CARPENTRY DBA,KIKO'S CARPENTRY DBA,5437
423,768 NW FLORESTA DR,TWC3953272,03/24/2022,KIKO'S CONSTRUCTION INC,KIKO'S CONSTRUCTION INC,5437
424,768 NW FLORESTA DR,TWC3953272,03/24/2022,KIKO'S CONSTRUCTION INC,KIKO'S CONSTRUCTION INC,5437
425,117 SW NORTH DANVILLE CIR,LLWC284828,03/10/2022,L & L LAWN & LANDSCAPE SERVICES LLC,L & L LAWN & LANDSCAPE SERVICES LLC,42
426,5520 NW PINE TRAIL CIR,LLWC284828,03/10/2022,L & L LAWN & LANDSCAPE SERVICES LLC,L & L LAWN & LANDSCAPE SERVICES LLC,42
427,5520 NW PINE TRAIL CIR,LLWC284828,03/10/2022,L & L LAWN & LANDSCAPE SERVICES LLC,L & L LAWN & LANDSCAPE SERVICES LLC,42
428,1887 SE PORT ST LUCIE BLVD,WC712722265,03/21/2022,LAW FIRM OF HOSKINS TURCO LLOYD & LLOYD DBA,HOSKINS & TURCO P L,8820
429,1887 SE PORT ST LUCIE BLVD,WC712722265,03/21/2022,LAW FIRM OF HOSKINS TURCO LLOYD & LLOYD DBA,LAW FIRM OF HOSKINS TURCO LLOYD & LLOYD DBA,8820
430,302 S 2ND ST,WC712722265,03/21/2022,LAW FIRM OF HOSKINS TURCO LLOYD & LLOYD DBA,LAW FIRM OF HOSKINS TURCO LLOYD & LLOYD DBA,8820
431,875 SW SOUTH MACEDO BLVD,WC01000001021,03/01/2022,LAWNSCAPE OF SOUTH FLORIDA,KYMBERLY GROUP PAYROLL SOLUTIONS INC,7219
432,1700 CELEBRATION DR,MWC31258321,03/01/2022,LGI HOMES FLORIDA LLC,LGI HOMES FLORIDA LLC,5606
433,160 NW CENTRAL PARK PLZ,LIWC256437,03/30/2022,LIFE CARE PARTNERS OF FLORIDA LLC,LIFE CARE PARTNERS OF FLORIDA LLC,8835
434,1349 SW BILTMORE ST,83031318,03/01/2022,LIFE SAFETY SYS INC OF THE TREASURE COAST,LIFE SAFETY SYS INC OF THE TREASURE COAST,5188
435,1349 SW BILTMORE ST,83031318,03/01/2022,LIFE SAFETY SYS INC OF THE TREASURE COAST,LIFE SAFETY SYSTEMS INC,5188
436,1349 SW BILTMORE ST,83031318,03/01/2022,LIFE SAFETY SYS INC OF THE TREASURE COAST,LIFE SAFETY SYSTEMS INC OF THE TREASURE COA,5188
437,514 SE PORT ST LUCIE BLVD,UB5N5138772142V,03/20/2022,LINDA F DELO DO PA,LINDA F DELO DO PA,8832
438,514 SE PORT ST LUCIE BLVD,UB5N5138772142V,03/20/2022,LINDA F DELO DO PA,LINDA F DELO DO PA,8832
439,120 MAPLE AVE,MWC016650002,03/25/2022,LITTLE ANGELS LEARNING ACADEMY TU LLC,LITTLE ANGELS LEARNING ACADEMY TU LLC,8869
440,5713 MYRTLE DR,EIG473047100,03/10/2022,LOBRUTTOS FINAL TOUCH CLEANING,LOBRUTTOS FINAL TOUCH CLEANING,9014
441,1455 SE PITCHER RD,TWC3950703,03/17/2022,LUCI V JENKINS INC,LUCI V JENKINS INC,9014
442,3243 SW PORT ST LUCIE BLVD,AWC1163394,03/21/2022,LUCKY STAR INC,LUCKY STAR INC,9082
443,515 NW NORTH MACEDO BLVD,WC039252019,03/01/2022,LUPE METAL SOLUTIONS INC,LUPE METAL SOLUTIONS INC,5551
444,515 NW NORTH MACEDO BLVD,WC039252019,03/01/2022,LUPE METAL SOLUTIONS INC,LUPE METAL SOLUTIONS INC,5551
445,515 NW NORTH MACEDO BLVD,WC039252019,03/01/2022,LUPE METAL SOLUTIONS INC,LUPE METAL SOLUTIONS INC,5551
446,10979 SW VISCONTI WAY,02WECNK9831,03/23/2022,MACDERMID REYNOLDS & GLISSMAN,MACDERMID REYNOLDS & GLISSMAN,8820
447,1455 SE PITCHER RD,TWC3950703,03/17/2022,MAID FOR YOU DBA,LUCI V JENKINS INC,9014
448,7421 BOB O LINK WAY,Z134081205,03/03/2022,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,9015
449,8311 HOLLEY TREE TRL,Z134081205,03/03/2022,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,9015
450,8311 HOLLEY TREE TRL,Z134081205,03/03/2022,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,9015
451,8311 HOLLEY TREE TRL,Z134081205,03/03/2022,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,MAIDSTONE/RESERVE PROPERTY OWNERS ASSOC INC,9015
452,460 NW CONCOURSE PL UNIT 9,83023066,03/01/2022,MAJOR CANVAS AWNINGS INC,MAJOR CANVAS AWNINGS INC,2501
453,705 SW MYAKKA RIVER TRCE,76WEGAK4HLA,03/01/2022,MANNING CONSULTING GROUP INC,MANNING CONSULTING GROUP INC,8810
454,584 NW UNIVERSITY BLVD STE 708,WC080756268,03/01/2022,MANPOWER TEMPORARY SERVICE AKA,MANPOWER TEMPORARY SERVICE AKA,9410
455,584 NW UNIVERSITY BLVD STE 708,WC080756268,03/01/2022,MANPOWER TEMPORARY SERVICE DBA,MANPOWER TEMPORARY SERVICE DBA,9410
456,10380 SW VILLAGE CENTER DR STE,MAWC263072,03/18/2022,MARGARET CABAN CLEAN EXTREME LLC,MARGARET CABAN CLEAN EXTREME LLC,917
457,10380 SW VILLAGE CENTER DR STE,MAWC263072,03/18/2022,MARGARET CABAN CLEAN EXTREME LLC,MARGARET CABAN CLEAN EXTREME LLC,917
458,5285 SAINT LUCIE BLVD,AWC1166998,03/31/2022,MARTINEZ BUILDERS SUPPLY LLC,MARTINEZ BUILDERS SUPPLY LLC,2802
459,3207 SW PORT ST LUCIE BLVD,AWC1163201,03/01/2022,MASSIMO'S PIZZA & PASTA INC,MASSIMO'S PIZZA & PASTA INC,9083
460,3207 SW PORT ST LUCIE BLVD,AWC1163201,03/01/2022,MASSIMO'S PIZZA & PASTA INC,MASSIMO'S PIZZA & PASTA INC,9083
461,315 AVENUE A,UB4K4635112142G,03/26/2022,MCALPIN CALVALCANTI & LEWIS CPA,MCALPIN CALVALCANTI & LEWIS CPA,8810
462,608 TUMBLIN KLING RD,52053552,03/06/2022,MCCOY'S SUNNY SOUTH APIARIES INC,MCCOY'S SUNNY SOUTH APIARIES INC,34
463,2172 NW RESERVE PARK TRCE,UB2N46910121I2E,03/01/2022,MEDICAL EQUIPMENT TECHNOLOGIESINC,MEDICAL EQUIPMENT TECHNOLOGIESINC,3724
464,2172 NW RESERVE PARK TRCE,UB2N46910121I2E,03/01/2022,MEDICAL EQUIPMENT TECHNOLOGIESINC,MEDICAL EQUIPMENT TECHNOLOGIESINC,3724
465,2712 NW RESERVE PARK TRACE,UB2N46910121I2E,03/01/2022,MEDICAL EQUIPMENT TECHNOLOGIESINC,MEDICAL EQUIPMENT TECHNOLOGIESINC,3724
466,1108 W MIDWAY RD,MWC002814810,03/19/2022,MIDWAY ROAD BAPTIST CHURCH INC,MIDWAY ROAD BAPTIST CHURCH INC,8868
467,5347 NW ALOHA ST,XWS2258273598,03/01/2022,MILLER CONSTRUCTION & DESIGN INC,MILLER CONSTRUCTION & DESIGN INC,5645
468,380 SW PRIMA VISTA BLVD,52040402,03/21/2022,MILTON M APONTE MD PA,MILTON M APONTE MD PA,8832
469,PO BOX 881027,52040402,03/21/2022,MILTON M APONTE MD PA,MILTON M APONTE MD PA,8832
470,1050 SW BAYSHORE BLVD,TWC3951944,03/13/2022,MJW INC,MJW INC,9084
471,1050 SW BAYSHORE BLVD,TWC3951944,03/13/2022,MJW INC,MJW INC,9084
472,1050 SW BAYSHORE BLVD,TWC3951944,03/13/2022,MJW INC,MJW INC,9084
473,3038 SUMMIT ST,MLWC237642,03/28/2022,MLP PAINTING INC,MLP PAINTING INC,5474
474,3038 SUMMIT ST,MLWC237642,03/28/2022,MLP PAINTING INC,MLP PAINTING INC,5474
475,10377 S US HIGHWAY 1 STE 102,AWC1163697,03/04/2022,MOISES SIPERSTEIN M D PA,MOISES SIPERSTEIN M D PA,8832
476,10377 S US HIGHWAY 1 STE 102,AWC1163697,03/04/2022,MOISES SIPERSTEIN M D PA,MOISES SIPERSTEIN M D PA,8832
477,10570 S US 1,76WEGAF7N24,03/09/2022,MOORE SOLUTIONS INC,MOORE SOLUTIONS INC,8810
478,1680 SE LYNGATE DR STE 202,76WEGAF7N24,03/09/2022,MOORE SOLUTIONS INC,MOORE SOLUTIONS INC,8810
479,1680 SE LYNGATE DR STE 202,76WEGAF7N24,03/09/2022,MOORE SOLUTIONS INC,MOORE SOLUTIONS INC,8810
480,1050 SW BAYSHORE BLVD,TWC3951944,03/13/2022,MUMBLES BAR DBA,MJW INC,9084
481,1391 NW SAINT LUCIE WEST BLVD,TWC3950589,03/17/2022,NATURAL HABITATS INC,NATURAL HABITATS INC,9102
482,1391 NW SAINT LUCIE WEST BLVD,TWC3950589,03/17/2022,NATURAL HABITATS INC,NATURAL HABITATS INC,9102
483,1850 SW FOUNTAIN BLVD STE 202,98CMT2022,03/04/2022,NEELD FAMILY CHIROPRACTIC LLC,NEELD FAMILY CHIROPRACTIC LLC,8832
484,638 SW BAYSHORE BLVD,98CBV5128,03/06/2022,NEW IMAGE DENTISTRY OF ST LUCIE PA,NEW IMAGE DENTISTRY OF ST LUCIE PA,8832
485,638 SW BAYSHORE BLVD,98CBV5128,03/06/2022,NEW IMAGE DENTISTRY OF ST LUCIE PA,NEW IMAGE DENTISTRY OF ST LUCIE PA,8832
486,3180 SE OVERBROOK DR,WC011326685,03/01/2022,NEXT DOOR DISTRIBUTION LLC DBA,NEXT DOOR DISTRIBUTION LLC DBA,8235
487,1234 SW ARAGON AVE,MWC014526503,03/04/2022,NEXT LEVEL LANDSCAPE SERVICE INC,NEXT LEVEL LANDSCAPE SERVICE INC,9102
488,1234 SW ARAGON AVE,MWC014526503,03/04/2022,NEXT LEVEL LANDSCAPE SERVICE INC,NEXT LEVEL LANDSCAPE SERVICE INC,9102
489,8801 INDRIO RD,WC0100067891,03/31/2022,NICHOLAS J RUSSAKIS,RUSSAKIS CITRUS MANAGEMENT LLC,83
490,131 SW PORT ST LUCIE BLVD,10664058,03/08/2022,NIGHT LITE PEDIATRIC CENTER LLC,NIGHT LITE PEDIATRIC CENTER LLC,8832
491,2403 S 25TH ST OFC,WC501439806,03/02/2022,NORTH TOWNE TOLEDO LLC,NORTH TOWNE TOLEDO LLC,9012
492,4591 WHISPERING PINES LN,WC501439806,03/02/2022,NORTH TOWNE TOLEDO LLC,NORTH TOWNE TOLEDO LLC,9012
493,2403 S 25TH ST OFC,WC501439806,03/02/2022,NORTH TOWNE VILLAS,NORTH TOWNE VILLAS,9012
494,4591 WHISPERING PINES LN,WC501439806,03/02/2022,NORTH TOWNE VILLAS,NORTH TOWNE VILLAS,9012
495,1903 S 25TH ST,MWC014431303,03/01/2022,NOVA ORTHO & SPINE PLLC,NOVA ORTHO & SPINE PLLC,8832
496,10489 S US HIGHWAY 1,WC065885741,03/01/2022,O'REILLY AUTOMOTIVE STORES INC,O'REILLY AUTOMOTIVE STORES INC,8046
497,198 SW PORT ST LUCIE BLVD,WC065885741,03/01/2022,O'REILLY AUTOMOTIVE STORES INC,O'REILLY AUTOMOTIVE STORES INC,8046
498,2600 OKEECHOBEE RD,WC065885741,03/01/2022,O'REILLY AUTOMOTIVE STORES INC,O'REILLY AUTOMOTIVE STORES INC,8046
499,4760 S US HIGHWAY 1,WC065885741,03/01/2022,O'REILLY AUTOMOTIVE STORES INC,O'REILLY AUTOMOTIVE STORES INC,8046
500,571 NW PRIMA VISTA BLVD,WC065885741,03/01/2022,O'REILLY AUTOMOTIVE STORES INC,O'REILLY AUTOMOTIVE STORES INC,8046
501,848 SE BECKER RD,UB9R7124062142G,03/05/2022,OAK & EMBER STEAKHOUSE LLC,OAK & EMBER STEAKHOUSE LLC,9082
502,848 SE BECKER RD,UB9R7124062142G,03/05/2022,OAK & EMBER STEAKHOUSE LLC,OAK & EMBER STEAKHOUSE LLC,9082
503,718 SE ADAMS CT,WCP0004417020,03/20/2022,OAKES SPECTACULAR TRAINS INC,OAKES SPECTACULAR TRAINS INC,9180
504,8980 S US HIGHWAY 1,MWC016599702,03/13/2022,OASIS CHIROPRACTIC & WELLNESS INC,OASIS CHIROPRACTIC & WELLNESS INC,8832
505,430 NW LAKE WHITNEY PL,WC616619866,03/15/2022,OCEAN DUNES OF HUTCHINSONISLAND CONDO ASSN INC,OCEAN DUNES OF HUTCHINSONISLAND CONDO ASSN INC,9015
506,430 NW LAKE WHITNEY PL,WC616619866,03/15/2022,OCEAN DUNES OF HUTCHINSONISLAND CONDO ASSN INC,OCEAN DUNES OF HUTCHINSONISLAND CONDO ASSN INC,9015
507,3801 S INDIAN RIVER DR,TWC3966228,03/24/2022,OCEANS ELECTRIC OF SOUTH FLORIDA LLC,OCEANS ELECTRIC OF SOUTH FLORIDA LLC,5190
508,100 AVENUE A STE C,UB1S0582732142V,03/16/2022,OLD FLORIDA COFFEE CO DBA,OLD FLORIDA COFFEE LLC,9083
509,100 AVENUE A STE C,UB1S0582732142V,03/16/2022,OLD FLORIDA COFFEE LLC,OLD FLORIDA COFFEE LLC,9083
510,150 SW CHAMBER CT STE 101,61WECAB3JIU,03/19/2022,OPTIMAL CARE PEDIATRICS LLC,OPTIMAL CARE PEDIATRICS LLC,8832
511,150 SW CHAMBER CT STE 101,61WECAB3JIU,03/19/2022,OPTIMAL CARE PEDIATRICS LLC,OPTIMAL CARE PEDIATRICS LLC,8832
512,160 NW CENTRAL PARK PLZ,LIWC256437,03/30/2022,OPTIONS HOME HEALTH TA,OPTIONS HOME HEALTH TA,8835
513,884 SOUTHWEST PORT SAINT LUCIE,EIG472613600,03/02/2022,ORANGE THEORY FITNESS,ORANGE THEORY FITNESS,9063
514,1487 SE COLCHESTER CIR,C68954149,03/01/2022,ORANGEWOOD PROPERTY MANAGEMENT INC,TRINET HR II HOLDINGS INC,8832
515,522 SW BUTLER AVE,W23H19661801,03/01/2022,OROFACIAL THERAPEUTICS LP,OROFACIAL THERAPEUTICS LP,8742
516,430 NW LAKE WHITNEY PL,2021010557942Y,03/01/2022,OUTRIGGER HARBOUR CONDO ASSOC,OUTRIGGER HARBOUR CONDO ASSOC,9015
517,430 NW LAKE WHITNEY PL,2021010557942Y,03/01/2022,OUTRIGGER HARBOUR CONDO ASSOC,OUTRIGGER HARBOUR CONDO ASSOC,9015
518,430 NW LAKE WHITNEY PL,2021010519611Y,03/01/2022,OUTRIGGER HARBOUR YACHT CLUB INC,OUTRIGGER HARBOUR YACHT CLUB INC,9015
519,430 NW LAKE WHITNEY PL,2021010519611Y,03/01/2022,OUTRIGGER HARBOUR YACHT CLUB INC,OUTRIGGER HARBOUR YACHT CLUB INC,9015
520,1007 COPENHAVER RD,WC0100067827,03/22/2022,P&C CONSTRUCTION OF THE TREASURE COAST LLC,P&C CONSTRUCTION OF THE TREASURE COAST LLC,5213
521,COAST LLC,WC0100067827,03/22/2022,P&C CONSTRUCTION OF THE TREASURE COAST LLC,P&C CONSTRUCTION OF THE TREASURE COAST LLC,5213
522,PO BOX 4343,WC0100067827,03/22/2022,P&C CONSTRUCTION OF THE TREASURE COAST LLC,P&C CONSTRUCTION OF THE TREASURE COAST LLC,5213
523,4728 GRADY DR,NXTV6GBW7300WC,03/17/2022,PA LA LAWN SERVICES LLC,PA LA LAWN SERVICES LLC,106
524,1225 SE PORT ST LUCIE BLVD UNI,WCV0122480,03/09/2022,PACE 2000 INC,PACE 2000 INC,5606
525,445 NW PRIMA VISTA BLVD # 107,WCV0122480,03/09/2022,PACE 2000 INC,PACE 2000 INC,5606
526,10480 SW STEPHANIE WAY APT 208,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
527,1218 SW AIROSO BLVD,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
528,1306 YORK AVE,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
529,157 SW THORNHILL DR,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
530,181 SE JUPER AVE,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
531,2050 OLEANDER BLVD APT 2-106,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
532,2079 SE NEW YORK ST,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
533,343 NE SOLIDA CIR,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
534,382 SW BRIDGEPORT DR,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
535,474 SW CARTER AVE,WC611303178,03/05/2022,PALM BEACH BUSINESS SERVICES INC,PALM BEACH BUSINESS SERVICES INC,8871
536,1676 SW BILTMORE ST,C68954149,03/01/2022,PARK'S RENTAL & SALES INC,PARK'S RENTAL & SALES INC,8832
537,2306 OKEECHOBEE RD,C68954149,03/01/2022,PARK'S RENTAL & SALES INC,PARK'S RENTAL & SALES INC,8832
538,2306 OKEECHOBEE RD,C68954149,03/01/2022,PARK'S RENTAL & SALES INC,TRINET HR II HOLDINGS INC,8832
539,1090 VIRGINIA AVE,03178272630564,03/13/2022,PAUL N GOTKIN DPM & DAVID GUBERNICK,PAUL N GOTKIN DPM & DAVID GUBERNICK,8832
540,1095 NW SAINT LUCIE WEST BLVD,03178272630564,03/13/2022,PAUL N GOTKIN DPM & DAVID GUBERNICK,PAUL N GOTKIN DPM & DAVID GUBERNICK,8832
541,1761 SW BILTMORE ST,19652655,03/12/2022,PDK ROOFING INC,PDK ROOFING INC,5551
542,1761 SW BILTMORE ST,19652655,03/12/2022,PDK ROOFING INC,PDK ROOFING INC,5551
543,626 SW EVERETT CT,19652655,03/12/2022,PDK ROOFING INC,PDK ROOFING INC,5551
544,1922 SW EXETER CT,AWC1163897,03/03/2022,PEACE AVE INC,PEACE AVE INC,8017
545,207 SW PORT ST LUCIE BLVD,AWC1163897,03/03/2022,PEACE AVE INC,PEACE AVE INC,8017
546,6658 S US HIGHWAY 1,AWC1163897,03/03/2022,PEACE AVE INC,PEACE AVE INC,8017
547,545 NW MERCANTILE PL STE 105,TWC3953168,03/29/2022,PEBBLE CONCEPTS INC,PEBBLE CONCEPTS INC,5223
548,545 NW MERCANTILE PL STE 105,TWC3953168,03/29/2022,PEBBLE CONCEPTS INC,PEBBLE CONCEPTS INC,5223
549,873 SW SOUTH MACEDO BLVD,TWC3953168,03/29/2022,PEBBLE CONCEPTS INC,PEBBLE CONCEPTS INC,5223
550,1270 BELL AVE,10967,03/31/2022,PERFORMANCE NAPA LLC,PERFORMANCE NAPA LLC,8046
551,485 SW THORNHILL DR,10967,03/31/2022,PERFORMANCE NAPA LLC,PERFORMANCE NAPA LLC,8046
552,8896 S US HIGHWAY 1,10967,03/31/2022,PERFORMANCE NAPA LLC,PERFORMANCE NAPA LLC,8046
553,2127 NW SETTLE AVE,83WBCAK7BPU,03/10/2022,PETESGOLFCARTS BATTERYPETE GOLFCARTSANDPARTS,PETESPOWER INC,8018
554,2127 NW SETTLE AVE,83WBCAK7BPU,03/10/2022,PETESPOWER INC,PETESPOWER INC,8018
555,8600 SOUTH INDIAN RIVER DRIVE,19650665,03/26/2022,PINNACLE ROOFING SERVICES LLC,PINNACLE ROOFING SERVICES LLC,5551
556,1443 SE LARKWOOD CIRCLE,TWC3962811,03/02/2022,PIONEER PROTECTIVE COATINGS LLC,PIONEER PROTECTIVE COATINGS LLC,5474
557,5703 SPRUCE DR,TWC3962811,03/02/2022,PIONEER PROTECTIVE COATINGS LLC,PIONEER PROTECTIVE COATINGS LLC,5474
558,1682 SW BILTMORE ST,83037550,03/11/2022,PIONEER SCREEN CO INC II,PIONEER SCREEN CO INC II,5102
559,1682 SW BILTMORE ST,83037550,03/11/2022,PIONEER SCREEN CO INC II,PIONEER SCREEN CO INC II,5102
560,2501 SOTHWEST BAER STREET,10966,03/28/2022,PIPE CONNECTION INC,PIPE CONNECTION INC,5183
561,2501 SOTHWEST BAER STREET,10966,03/28/2022,PIPE CONNECTION INC,PIPE CONNECTION INC,5183
562,2775 SW BUCKHART ST,NXTVE9E9YU00WC,03/05/2022,PLUMBING INC OF FLORIDA CORP,PLUMBING INC OF FLORIDA CORP,5183
563,2775 SW BUCKHART ST,NXTVE9E9YU00WC,03/05/2022,PLUMBING INC OF FLORIDA CORP,PLUMBING INC OF FLORIDA CORP,5183
564,4131 S US HIGHWAY 1,JJWC256430,03/30/2022,PLUMS TA,JJ PLUMS CAF II LLC,9082
565,11200 SW VILLAGE PKWY STE 102,AWC1164252,03/02/2022,POKE POKE DBA,T CAFE LLC,9082
566,6701 DELAND AVE,POWC215413,03/01/2022,POLISHING GENIE LLC,POLISHING GENIE LLC,9014
567,6901 BROOKLINE AVE,POWC215413,03/01/2022,POLISHING GENIE LLC,POLISHING GENIE LLC,9014
568,2474 SW MONTERREY LN,MWC016382702,03/01/2022,POOLS USA LLC,POOLS USA LLC,9014
569,11070 SW VILLAGE PKWY,Z137517001,03/05/2022,POPSTROKE HOLDINGS LLC,POPSTROKE HOLDINGS LLC,9082
570,8235 S US HIGHWAY 1,AWC1163769,03/14/2022,PORT ST LUCIE PAIN MANAGEMENT,PALM BEACH PAIN MANAGEMENT INC,8832
571,900 ELYSE CIR,83050376,03/01/2022,PORT ST LUCIE PLUMBING INC,PORT ST LUCIE PLUMBING INC,5183
572,900 ELYSE CIR,83050376,03/01/2022,PORT ST LUCIE PLUMBING INC,PORT ST LUCIE PLUMBING INC,5183
573,900 ELYSE CIR,83050376,03/01/2022,PORT ST LUCIE PLUMBING INC,PORT ST LUCIE PLUMBING INC,5183
574,4 HARBOUR ISLE DR E,2271742791,03/31/2022,PREMIER INK SYSTEMS INC,PREMIER INK SYSTEMS INC,4557
